Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Done (Barometer: SA-0231 Baro | Serial number: DL572 | Sample Interval: 12 Hour)
DATE       : 29/07/2026
TIME       : 09:48:59
FILENAME   : \\agustin\homes\emamer\Desktop\CSV\sa-0231_DK744_compensated.CSV
CREATED BY : Diver-Office 13.0.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..06-DK744  219.
  Instrument number       =UTC-7
                          =0
  Location                =sa-0231
  Sample period           =H12
  Sample method           =T
  Number of channels      =2
[Channel 1]
  Identification          =WATER HEAD (WC)
  Reference level         =13.12336  ft
  Range                   =57.41470  ft
  Master level            =400       CMH2O
  Altitude                =0         ft
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..06-DK744  219.
  Instrument number       =UTC-7
  Location                =sa-0231
  Sample period           =00 12:00:00 0
  Sample method           =T
  Start date / time       =00:00:12 20/02/24
  End date / time         =00:00:00 11/02/25
[Channel 1 from data header]
  Identification          =WATER HEAD (WC)
  Reference level         =13.12336  ft
  Range                   =57.41470  ft
  Master level            =400       CMH2O
  Altitude                =0         ft
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Water head[ft],Temperature[°C]
2024/02/20 12:00:00,23.09766,13.800
2024/02/21 00:00:00,23.06595,13.787
2024/02/21 12:00:00,23.16519,13.787
2024/02/22 00:00:00,23.09492,13.787
2024/02/22 12:00:00,23.11898,13.777
2024/02/23 00:00:00,23.07305,13.793
2024/02/23 12:00:00,23.09247,13.793
2024/02/24 00:00:00,23.05583,13.793
2024/02/24 12:00:00,23.07141,13.800
2024/02/25 00:00:00,23.06540,13.800
2024/02/25 12:00:00,23.06075,13.787
2024/02/26 00:00:00,23.06075,13.787
2024/02/26 12:00:00,23.08892,13.800
2024/02/27 00:00:00,23.15781,13.787
2024/02/27 12:00:00,23.16081,13.793
2024/02/28 00:00:00,23.14960,13.800
2024/02/28 12:00:00,23.06512,13.787
2024/02/29 00:00:00,23.09411,13.787
2024/02/29 12:00:00,23.08345,13.800
2024/03/01 00:00:00,23.07879,13.787
2024/03/01 12:00:00,23.05282,13.787
2024/03/02 00:00:00,23.08125,13.787
2024/03/02 12:00:00,23.09875,13.800
2024/03/03 00:00:00,23.13074,13.777
2024/03/03 12:00:00,23.14085,13.787
2024/03/04 00:00:00,23.11871,13.800
2024/03/04 12:00:00,23.10285,13.800
2024/03/05 00:00:00,23.05364,13.787
2024/03/05 12:00:00,23.08371,13.793
2024/03/06 00:00:00,23.01345,13.793
2024/03/06 12:00:00,23.08727,13.787
2024/03/07 00:00:00,23.06704,13.793
2024/03/07 12:00:00,23.12199,13.793
2024/03/08 00:00:00,23.04407,13.800
2024/03/08 12:00:00,23.04735,13.800
2024/03/09 00:00:00,22.93826,13.793
2024/03/09 12:00:00,22.91666,13.793
2024/03/10 00:00:00,22.89233,13.787
2024/03/10 12:00:00,22.89561,13.777
2024/03/11 00:00:00,22.89699,13.777
2024/03/11 12:00:00,22.93744,13.800
2024/03/12 00:00:00,22.95686,13.793
2024/03/12 12:00:00,22.94620,13.793
2024/03/13 00:00:00,23.01263,13.793
2024/03/13 12:00:00,23.02192,13.793
2024/03/14 00:00:00,23.05747,13.787
2024/03/14 12:00:00,23.02001,13.787
2024/03/15 00:00:00,23.02849,13.800
2024/03/15 12:00:00,22.95822,13.777
